Title,Author,Fandom,Url,Kudos,Summary,Content
The Breaking Point of a God,grey_cat_crozzing,"Hermitcraft SMP, 3rd Life | Last Life SMP Series, Evolution SMP",https://archiveofourown.org/works/43083675,"5,256","Summary: Watchers were supposed to be worshipped. It’s their source of powers as minor deities, after all. Grian, who wanted nothing more than to forget his Watcher past, was quite happy not to be worshipped at all. So when the Hermits collectively started praying to Xelqua and Grian started to gain a lot of Watcher magic, it put a real damper on his mood, health, self-perception and his relationships. With Mumbo gone off-world, it was now up to Scar, Pearl and Xisuma to worry about him – if Grian would let them. But Grian was nothing if not stubborn. He’d get through this alone, right? ..Right?",Teen And Up Audiences Creator Chose Not To Use Archive Warnings Gen M/M Multi Other Hermitcraft SMP 3rd Life | Last Life SMP Series Evolution SMP Charles | Grian/Ryan | GoodTimesWithScar Charles | Grian & Xisumavoid Charles | Grian & Pearl | PearlescentMoon Charles | Grian & Ryan | GoodTimesWithScar background Charles | Grian/Oliver Brotherhood | Mumbo Jumbo Charles | Grian Ryan | GoodTimesWithScar Xisumavoid (Video Blogging RPF) Pearl | PearlescentMoon Hermitcraft Ensemble Evolution SMP Ensemble Watcher Grian Grian is Xelqua Secret Identity Hermitcraft Season 9 Double Life mentioned Life Series mentioned Evo mentioned Hermitcraft Season 8 Gods and Deities Xelqua is Xisuma’s patron god Hurt/Comfort a lot of hurt tho Angst sensory overloads Panic Attacks Body Dysmorphia Dissociation Unhealthy Coping Mechanisms painkiller misuse Self Harm self sabotage self hate poor grian Self Acceptance Getting Together scarian - Freeform Slow Burn It Gets Worse Before It Gets Better Whump Unreliable Narrator Pearl and Grian are siblings Found Family Avian Grian Vex Scar Disabled Scar Voidwalker Xisuma Moth Hybrid PearlescentMoon Netherborn TangoTek Avian Jimmy | Solidarity Listener Jimmy | Solidarity Wolf Hybrid Rendog Polyhermits - Freeform a lot of unlabeled relationships basically They/Them Pronouns for Iskall85 she/they pronouns for ZombieCleo Not RPF game personas only Podfic Available
my ever after / is holding you,LovesickPrince,"Hermitcraft SMP, 3rd Life | Last Life SMP Series, Evolution SMP",https://archiveofourown.org/works/38476312,"3,557","Summary: Grian has been many things. A servant of a respected noble family. A survivor, with bruises on his skin and hidden wings tied down to his back. A rebel, sneaking away for a night of wonder in the heart of the kingdom - and a curiosity, gawked at by all as the King himself swept him into his arms and spent hours by his side. When Scar spent days tracking Grian down and helping him escape the cruel grasp of the Watchers, Grian thought his life couldn’t surprise him anymore. Pledging his life to serve Scar was all he could do to thank his King. Of course, being the personal servant of the King comes with its' own risks - and now Grian could add ‘hostage’ to his list of titles. Or; someone decides kidnapping King Scar’s beloved servant was a good idea. It really wasn’t.",Teen And Up Audiences Graphic Depictions Of Violence M/M Hermitcraft SMP 3rd Life | Last Life SMP Series Evolution SMP Charles | Grian/Ryan | GoodTimesWithScar Charles | Grian Ryan | GoodTimesWithScar The Watchers (Evolution SMP) Ryan | GoodTimesWithScar's Cat Jellie Alternate Universe - Fantasy Alternate Universe - Royalty Misunderstandings Past Abuse Kidnapping Drug Use Winged Charles | Grian King Ryan | GoodTimesWithScar Servant Charles | Grian Idiots in Love Fluff and Angst Hurt/Comfort Not Actually Unrequited Love Hostage Situations Vex Ryan | GoodTimesWithScar Literal Sleeping Together Inspired by Cinderella (Disney Movies) Blood and Injury Dismemberment It Gets Worse Before It Gets Better Oblivious Charles | Grian they're so soft for each other Cuddling & Snuggling Mutual Pining
lost in the dark (he's got a heavy heart),definitelynotaroughdraft (definitelynotshouting),"Hermitcraft SMP, 3rd Life | Last Life SMP Series",https://archiveofourown.org/works/45368656,"3,267","Summary: ""Grian, what are these?"" Weakness, he tries to rasp; it comes out garbled, so he sucks in a long, slow breath and tries again, lungs trembling with the effort. ""Weak– weakness."" Scar drops the bottle like it's burned him. ""You took three weakness potions?"" he chokes out, and that seems to break whatever trance Xisuma, Pearl, and Tango have been in this entire time. They rush forward, eating the distance between them in rapid strides, until they're all crouched around Grian. Grian shuts his eyes again, before remembering he isn't supposed to do that. He wants to say sorry. What he says instead, is: ""It was– safer. Like this. For you."" It amounts to about the same thing. Or, I finally buckle down and post the rough draft of hunger au, where I give Grian every mental illness known to man and also a few new ones. Please heed the tags.",Mature Creator Chose Not To Use Archive Warnings Gen M/M Hermitcraft SMP 3rd Life | Last Life SMP Series Charles | Grian/Ryan | GoodTimesWithScar Charles | Grian & Ryan | GoodTimesWithScar Oliver Brotherhood | Mumbo Jumbo & Charles | Grian Charles | Grian & Xisumavoid Charles | Grian & Pearl | PearlescentMoon Charles | Grian & TangoTek Side Relationship Jimmy | Solidarity/TangoTek Charles | Grian Ryan | GoodTimesWithScar Oliver Brotherhood | Mumbo Jumbo Xisumavoid (Video Blogging RPF) Pearl | PearlescentMoon TangoTek (Video Blogging RPF) Hermitcraft Ensemble Alternate Universe Angst Hurt/Comfort Emotional Hurt/Comfort Hurt Charles | Grian Charles | Grian Angst Watcher Charles | Grian Watchers Charles | Grian Needs a Hug Suicide Attempt Suicidal Thoughts Starvation Eating Disorders Parasites &lt;-- the watchers are parasitic Body Horror Trauma Eventual Happy Ending Recovery Self-Harm my guy be in SITUATIONS Winged Charles | Grian Identity Issues every single tag i add makes me realize how hard im making grian go through it rip king you'll get a happy ending i promise Misunderstandings Worldbuilding sooo much worldbuilding Not RPF Not Beta Read Injury Injury Recovery
Trust Life,Capritarius,3rd Life | Last Life SMP Series,https://archiveofourown.org/works/41212521,"3,112","Summary: The last thing Scott remembers seeing was Pearl’s look of shock and horror. The last thing Scott remembers thinking, was how fun it’ll be to finally get his memories back and talk endlessly with his friends about how well their game went. Scott’s health reached zero. His world went dark. He opened his eyes. — Or, in order to keep things interesting and unpredictable during the traffic games, Grian thought it’d be a good idea to have the memories of everyone’s past relationships erased before the start of each session. So far, every previous session has been a blast. But things become complicated at the end of double life when Scott realizes that his boyfriend in the real world went out and got a whole other boyfriend during the game. All while having no memory of him. The next upcoming life game is sure to be an awkward one…",Explicit Creator Chose Not To Use Archive Warnings M/M Multi 3rd Life | Last Life SMP Series Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname Jimmy | Solidarity/TangoTek Scott Major | Smajor1995/TangoTek John Booko | BdoubleO100/impulseSV Charles | Grian/Ryan | GoodTimesWithScar Charles | Grian/Anthony Viviano | Bigbst4tz2 Past impulseSV/Kris | ZedaphPlays/TangoTek Joel | SmallishBeans/Lizzie | LDShadowLady (Video Blogging RPF) Past Ethoslab/Joel | SmallishBeans Martyn Littlewood/Rendog Jimmy | Solidarity/Scott Major | Smajor1995/TangoTek Scott Major | Smajor1995 TangoTek (Video Blogging RPF) Jimmy | Solidarity Charles | Grian Ryan | GoodTimesWithScar Anthony Viviano | Bigbst4tz2 ZombieCleo (Video Blogging RPF) John Booko | BdoubleO100 EthosLab (Video Blogging RPF) impulseSV (Video Blogging RPF) Martyn Littlewood | InTheLittleWood Rendog (Video Blogging RPF) Lizzie | LDShadowLady (Video Blogging RPF) Joel | SmallishBeans Pearl | PearlescentMoon Post-Double Life SMP Video Game Mechanics Mutual Pining Complicated Relationships Angst Scott | Smajor1995 | Dangthatsalongname Has Ice Powers Blaze Hybrid TangoTek (Video Blogging RPF) Canary Hybrid Jimmy | Solidarity Winged Charles | Grian no beta we die like jimmy Enemies to Lovers Enemies to Friends to Lovers Arson Breakups Slow Burn Swearing Implied/Referenced Cheating Eventual Smut Insomnia Eventual Flower Ranchers Angst with a Happy Ending Alcohol Anal Sex Anal Fingering Gentle Sex Miscommunication
i don't think i could stand to be where you don't see me,wizardlover,3rd Life | Last Life SMP Series,https://archiveofourown.org/works/39733818,"3,053","Summary: “Look, you don’t want to be soulmates with me, fine, but I need you to at least acknowledge it, and promise me you won’t get us both killed by jumping off some cliff—” “I’m sorry, what?” Scar is still looking at him with that confused face, and Grian clenches his teeth. “Look, Scar, I’m not stupid,” he grits out, stomping closer to him until they’re almost nose-to-nose. He can feel his wings flaring out behind his back. “If you don’t want me then—then fine, that’s your choice, but I’m not letting you just—avoid the truth! And act like you don’t even know, right at my face!” Grian closes his mouth with a click, breathless. His hands are sweaty and there’s an ache in his chest, hollowing out the space behind his ribs. Scar is still looking at him with those impossibly green eyes.",Teen And Up Audiences No Archive Warnings Apply M/M 3rd Life | Last Life SMP Series Grian/Goodtimeswithscar Grian GoodTimesWithScar some other people show up but not enough to tag imo Soulmates Obviously. Emotional Hurt/Comfort Misunderstandings grian king of jumping to conclusions i watched grians ep and went hey is anyone gonna dramatize this silly mc rp First Kiss Angst with a Happy Ending
believing in the country of me and you,remrose,"3rd Life | Last Life SMP Series, Hermitcraft SMP",https://archiveofourown.org/works/40201992,"3,043","Summary: But in the morning, all of the thoughts from the night before were gone. All of the stars and the inky black were gone, and all that was left was Scar's huge hands gripping him close and his leg between Scar's thighs and his nose pressed into Scar's shoulder. All of him surrounded by all of that, and the unfortunate feeling that he'd never been so fucking close to something he wanted while also nowhere near it. The grip on him was tight, and Grian whispered, ""Let me go.""  or, Grian doesn't want to let Scar close",Explicit No Archive Warnings Apply M/M 3rd Life | Last Life SMP Series Hermitcraft SMP Charles | Grian/Ryan | GoodTimesWithScar Ryan | GoodTimesWithScar Charles | Grian Pearl | PearlescentMoon Oliver Brotherhood | Mumbo Jumbo Canon Universe Alternate Universe - 3rd Life SMP Setting (Video Blogging RPF) Alternate Universe - Last Life SMP Setting (Video Blogging RPF) Alternate Universe - Double Life SMP Setting Hermitcraft Season 8 Hermitcraft Season 9 Angst Hurt/Comfort Emotional Hurt/Comfort Smut Kissing Sharing a Bed Dancing Temporary Character Death Wingfic Wing Grooming Touch-Starved Charles | Grian Needs a Hug Charles | Grian Angst Charles | Grian-centric Disabled Ryan | GoodTimesWithScar
"Ouch, Fuck, Why does my stomach hurt????",Eye_Dunn0,"Hermitcraft SMP, 3rd Life | Last Life SMP Series",https://archiveofourown.org/works/39735696,"2,822","Summary: Grian and Scar have just discovered that they're soulmates. And for the entirety of Double Life, soulmates can feel each other's pain. So when Scar wakes up in the middle of the night and immediately starts crying from a pain in his stomach, his first instinct is to think that Grian got fucking stabbed. Thankfully, Grian does not appear to be stabbed. He is however, curled up in a little ball with his wings wrapped around him. What the fuck is happening????",General Audiences Creator Chose Not To Use Archive Warnings M/M Hermitcraft SMP 3rd Life | Last Life SMP Series Charles | Grian/Ryan | GoodTimesWithScar Charles | Grian Ryan | GoodTimesWithScar FTM Grian Trans Grian Double Life Coming Out Soulmates Does this count as a sickfic? I think it does but i'm not sure period cramps are a bitch Hot Chocolate Scar is a himbo Scar is a good boyfriend Scar is trying his best He/Him Pronouns for Charles | Grian he/him pronouns for GoodTimesWithScar Avian Charles | Grian Cuddling & Snuggling Mild Angst Fluff and Hurt/Comfort yes this is a fic where the plot revolves around periods Go Cry About It Getting Together Kinda
"Greater the Love, Greater the Loss (and Gain)",SneakyToni,"DreamSMP, Hermitcraft, ThirdLife, Minecraft (Video Game)",https://archiveofourown.org/works/33962875,"2,794","Summary: ""I'm sorry,"" Tommy said, trying to pull away. ""But I don't know who you are."" He almost regretted it when he saw the broken look on the man's face. Still, there was that twinge of almost-recognization. The stranger (was he a stranger?) looked disappointed, but not at him. Tommy almost wished he was the person this guy was looking for, he looked nice. Despite accusing him of being his son and almost crying on him, this was the nicest anyone had been for a while. ""It's okay,"" the man said with a small, pained, smile, tears still in his eyes. ""I'm sure you'll remember soon. And when you do, just ask around for Grian, alright?"" AKA: Grian starts getting nightmares after season eight of Hermitcraft begins and begins to regain memories he didn't know he was missing. Servers away, Tommy notices something's wrong.",Teen And Up Audiences No Archive Warnings Apply Gen DreamSMP Hermitcraft ThirdLife Minecraft (Video Game) Charles | Grian & TommyInnit Mumbo & Grian Charles | Grian & Pearl | PearlescentMoon Charles | Grian & Ryan | GoodTimesWithScar Ryan | GoodTimesWithScar & TommyInnit Wilbur Soot & TommyInnit Ranboo & Toby Smith | Tubbo & TommyInnit Charles | Grian TommyInnit (Video Blogging RPF) Mumbo Jumbo (Hermitcraft) Pearl | PearlescentMoon Ryan | GoodTimesWithScar Wilbur Soot Technoblade (Video Blogging RPF) Ranboo (Video Blogging RPF) Toby Smith | Tubbo Michael the zombie piglin Clay | Dream (Video Blogging RPF) Watcher Charles | Grian References to EvoSMP Traumatized TommyInnit (Video Blogging RPF) Eventual Fluff Found Family Dad Charles|Grian TommyInnit Needs a Break (Video Blogging RPF) TommyInnit Needs an Adult (Video Blogging RPF) he used to have one the adult is trying to find him dw Angst Winged Charles | Grian Charles | Grian Angst Good Friend Mumbo Jumbo he is trying so hard and he is so lost Amnesia Crossover Hermit Tommy but not until later good things come to those who wait and all pov ur deadbeat parents dropkick you into a different timeline and now you gotta go find your son Other Additional Tags to Be Added Crimeboys - Freeform Uncle TommyInnit (Video Blogging RPF) BenchTrio - Freeform Ranboo and Toby Smith | Tubbo Have a Child Named Michael Unsympathetic Clay | Dream (Video Blogging RPF) Author is Not a Clay | Dream Apologist (Video Blogging RPF) GoodtimeWithScar is a Good Friend No beta we die like multiple people in the prison only to be resurrected and continue writing angst Suicide Attempt Canonical Character Death the grian angst is heavy in this one maybe more violent than canonically typical?
"When the tether snaps, the anchor sinks",EerieFeelingsAt3Am,3rd Life | Last Life SMP Series,https://archiveofourown.org/works/40541181,"2,743","Summary: Grian was trying to play dumb. Once again. But Scar was just not having it this time around. He really thought Grian knew him better than the other people. Knew that he wasn’t as oblivious and stupid as they thought he was. Apparently not, huh? Scar flinches at that, but he stands up anyways, steeling himself for what he knows will be the worst pain of the day. He reaches for the base of Grian’s wing and intentionally pushes down on it. Grian yelps and jumps back and Scar almost doubles over from the pain. He could swear he saw stars when he pushed.",General Audiences Graphic Depictions Of Violence M/M 3rd Life | Last Life SMP Series Charles | Grian/Ryan | GoodTimesWithScar Charles | Grian & Ryan | GoodTimesWithScar Charles | Grian Ryan | GoodTimesWithScar Ryan | GoodTimesWithScar's Cat Jellie EthosLab (Video Blogging RPF) Joel | SmallishBeans John Booko | BdoubleO100 impulseSV (Video Blogging RPF) Scott Major | Smajor1995 Pearl | PearlescentMoon ZombieCleo (Video Blogging RPF) Martyn Littlewood | InTheLittleWood Angst Angst with a Happy Ending Hurt/Comfort Emotional Hurt/Comfort Complicated Relationships Developing Relationship Not Actually Unrequited Love They are just stupid Eventual Fluff Disabled Character Disabled Ryan | GoodTimesWithScar Winged Charles | Grian Watcher Charles | Grian Chronic Pain Charles | Grian Needs a Hug Ryan | GoodTimesWithScar Needs a Hug Panic Attacks Miscommunication Bathing/Washing Fainting Implied/Referenced Self-Harm Kinda Grian doesn't take care of his wings Not Canon Compliant Bc I had an idea And just had to go for it Fights BAMF Charles | Grian BAMF Ryan | GoodTimesWithScar How is that not a tag Arson What Have I Done Wing Grooming Chirping Making Up Fluff Blood and Violence Blood and Injury Burns Vomiting Concussions There is now one (1) curse word Watchers I FORGOT TO TAG JELLIE AND NONE OF YOU TOLD ME! Anyways Here's Your Happy Ending Enjoy!
Werewolf Games,Sixteenthdays,"Hermitcraft SMP, 3rd Life | Last Life SMP Series",https://archiveofourown.org/works/38750292,"2,635","Summary: [GRIAN] Statement of... Scott S. Major, regarding a camping trip in the north of England with friends. Original interview transcribed three years ago, September 15th, 2019. Statement begins.",Teen And Up Audiences Creator Chose Not To Use Archive Warnings Gen Hermitcraft SMP 3rd Life | Last Life SMP Series Joel | SmallishBeans Jimmy | Solidarity Grian Lizzie | LDShadowLady Scott Major | Smajor1995 Alternate Universe - The Magnus Archives Fusion TMA-Typical Horror Attempted Murder Altered Mental States boogeyman stuff Werewolves Statement Fic (The Magnus Archives) Camping Transcript Format
